# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 50000 bp max extension, curated regulatory domains included
Wfdc16	unnamed (-2524)
Xirp1	unnamed (-19695)
Xpo6	unnamed (+6140)
Yaf2	unnamed (-4037)
Ywhah	unnamed (-8876)
Zbed4	unnamed (-8082)
Zfp523	unnamed (+3553)
Zfp608	unnamed (+19034)
Zfp64	unnamed (-25784)
Zfyve26	unnamed (+41134)

